isolate,genus,extr_spec,corr_spec,mlst_ST,updated_ST,dnaA,fusA,gyrB,leuS,pyrG,rplB,rpoB,ST,format,type,num_seqs,sum_len,min_len,avg_len,max_len,Q1,Q2,Q3,sum_gap,N50,Q20...,Q30...,AvgQual,GC...,merge_ST
Enterobacter_cloacae_KCJK1725.fa,ecloacae,cloacae,genomosp.,-,2390,308,113,475,566,358,6,55,NA,FASTA,DNA,40,4637068,207,"115,926.7","726,693",395,"12,274","136,847.5",0,425203,0,0,0,55.8,308_113_475_566_358_6_55
Enterobacter_cloacae_KCJK1735.fa,ecloacae,cloacae,genomosp.,-,2390,308,113,475,566,358,6,55,NA,FASTA,DNA,37,4636375,255,"125,307.4","726,693",551,"26,396","156,085",0,425203,0,0,0,55.81,308_113_475_566_358_6_55
Enterobacter_cloacae_M-7-X3.fa,ecloacae,cloacae,hormaechei,-,0,284,140,5,61,278,50,84,NA,FASTA,DNA,39,4533289,207,"116,238.2","867,726","1,115.5","9,285","111,572",0,477226,0,0,0,55.15,284_140_5_61_278_50_84
Enterobacter_cloacae_M-7.fa,ecloacae,cloacae,hormaechei,-,0,284,140,5,61,278,50,84,NA,FASTA,DNA,34,4482026,290,"131,824.3","867,254","1,635","17,949","180,602",0,476960,0,0,0,55.25,284_140_5_61_278_50_84
Enterobacter_cloacae_M12X01451.fa,ecloacae,cloacae,cloacae,922,922,169,107,61,168,36,77,1,922,FASTA,DNA,2,5087499,"169,226","2,543,749.5","4,918,273","169,226","2,543,749.5","4,918,273",0,4918273,0,0,0,54.86,169_107_61_168_36_77_1
Enterobacter_cloacae_MY490.fa,ecloacae,cloacae,cloacae,1,1,1,1,1,1,1,1,1,1,FASTA,DNA,3,5531740,"55,609","1,843,913.3","5,095,077","218,331.5","381,054","2,738,065.5",0,5095077,0,0,0,54.43,1_1_1_1_1_1_1
Enterobacter_cloacae_N13-01531.fa,ecloacae,cloacae,asburiae,261,261,94,68,108,109,103,45,61,261,FASTA,DNA,1,4590029,"4,590,029","4,590,029","4,590,029","4,590,029","4,590,029","4,590,029",0,4590029,0,0,0,55.68,94_68_108_109_103_45_61
Enterobacter_cloacae_ND22.fa,ecloacae,cloacae,genomosp.,-,2390,308,113,475,566,358,6,55,NA,FASTA,DNA,36,4439389,249,"123,316.4","493,087","22,042","101,392","194,527",0,233201,0,0,0,55.91,308_113_475_566_358_6_55
Enterobacter_cloacae_P10RS.fa,ecloacae,cloacae,bugandensis,1084,1084,309,18,34,370,34,8,29,1084,FASTA,DNA,49,4713230,214,"96,188.4","708,203",426,"28,828","142,108",0,328576,0,0,0,56.1,309_18_34_370_34_8_29
Enterobacter_cloacae_P1B.fa,ecloacae,cloacae,bugandensis,1085,1085,311,18,310,372,34,143,28,1085,FASTA,DNA,44,4813209,225,"109,391.1","890,548",430.5,"16,823.5","153,369.5",0,345804,0,0,0,55.8,311_18_310_372_34_143_28
Enterobacter_cloacae_P20B.fa,ecloacae,cloacae,bugandensis,-,0,111,18,336,142,32,NA,80,NA,FASTA,DNA,30,4596978,421,"153,232.6","515,035","28,938","99,174","225,578",0,324860,0,0,0,56.16,111_18_336_142_32_NA_80
Enterobacter_cloacae_P20C.fa,ecloacae,cloacae,bugandensis,1090,1090,111,18,336,142,32,8,80,1090,FASTA,DNA,32,4621727,421,"144,429","515,033","22,514","99,235.5","226,724.5",0,305885,0,0,0,56.13,111_18_336_142_32_8_80
Enterobacter_cloacae_P21C.fa,ecloacae,cloacae,bugandensis,-,0,309,18,34,370,34,NA,29,NA,FASTA,DNA,41,4568601,338,"111,429.3","550,727","5,507","71,956","168,142",0,215004,0,0,0,56.32,309_18_34_370_34_NA_29
Enterobacter_cloacae_P21RS.fa,ecloacae,cloacae,bugandensis,-,0,309,18,34,370,34,NA,29,NA,FASTA,DNA,24,4592148,338,"191,339.5","921,655","2,452.5","140,572.5","291,024",0,367888,0,0,0,56.25,309_18_34_370_34_NA_29
Enterobacter_cloacae_P23RS.fa,ecloacae,cloacae,hormaechei,-,0,58,37,4,6,42,NA,25,NA,FASTA,DNA,34,4560433,334,"134,130.4","727,379","1,712","63,778","205,915",0,312265,0,0,0,55.81,58_37_4_6_42_NA_25
Enterobacter_cloacae_P24RS.fa,ecloacae,cloacae,genomosp.,-,0,313,201,331,374,301,NA,55,NA,FASTA,DNA,39,4453629,336,"114,195.6","381,534","28,905.5","93,528","168,614.5",0,198325,0,0,0,56.04,313_201_331_374_301_NA_55
Enterobacter_cloacae_P26RS.fa,ecloacae,cloacae,bugandensis,1084,1084,309,18,34,370,34,8,29,1084,FASTA,DNA,24,4623837,339,"192,659.9","1,174,936","4,133.5","128,481","261,127",0,367888,0,0,0,56.2,309_18_34_370_34_8_29
Enterobacter_cloacae_P27C.fa,ecloacae,cloacae,bugandensis,-,0,33,18,34,370,32,NA,29,NA,FASTA,DNA,32,4637339,311,"144,916.8","701,896","1,475","43,813.5","186,444.5",0,542318,0,0,0,56.16,33_18_34_370_32_NA_29
Enterobacter_cloacae_P29RS.fa,ecloacae,cloacae,hormaechei,-,0,59,9,73,375,242,NA,202,NA,FASTA,DNA,50,4610699,235,"92,214","338,023","21,806","84,621.5","135,049",0,139359,0,0,0,55.43,59_9_73_375_242_NA_202
Enterobacter_cloacae_P2B.fa,ecloacae,cloacae,bugandensis,1084,1084,309,18,34,370,34,8,29,1084,FASTA,DNA,39,4709288,302,"120,751","436,007","4,740.5","98,834","171,037",0,214126,0,0,0,56.08,309_18_34_370_34_8_29
Enterobacter_cloacae_P33B.fa,ecloacae,cloacae,hormaechei,-,0,11,4,4,4,39,NA,6,NA,FASTA,DNA,49,4578783,480,"93,444.6","478,357","14,480","56,566","124,061",0,163303,0,0,0,55.85,11_4_4_4_39_NA_6
Enterobacter_cloacae_P35B.fa,ecloacae,cloacae,bugandensis,-,0,309,18,34,370,34,NA,29,NA,FASTA,DNA,38,4582576,335,"120,594.1","532,408","32,296","92,509","175,756",0,213338,0,0,0,56.27,309_18_34_370_34_NA_29
Enterobacter_cloacae_P38RS.fa,ecloacae,cloacae,bugandensis,1087,1087,33,19,34,28,304,8,29,1087,FASTA,DNA,36,4670373,305,"129,732.6","723,445","1,754","101,867","187,597.5",0,235838,0,0,0,56.1,33_19_34_28_304_8_29
Enterobacter_cloacae_P39RS.fa,ecloacae,cloacae,hormaechei,1078,1078,51,4,14,125,37,4,6,1078,FASTA,DNA,28,4562851,314,"162,959","862,494","4,193","120,828","207,333.5",0,339748,0,0,0,55.76,51_4_14_125_37_4_6
Enterobacter_cloacae_P40C.fa,ecloacae,cloacae,unknown,-,0,469,317,523,634,NA,220,319,NA,FASTA,DNA,46,4733618,"1,091","102,904.7","411,563","13,772","64,198.5","137,238",0,229314,0,0,0,56.69,469_317_523_634_NA_220_319
Enterobacter_cloacae_P40C2.fa,ecloacae,cloacae,unknown,-,0,469,317,523,634,NA,220,319,NA,FASTA,DNA,34,4730642,224,"139,136.5","1,105,067","1,565","68,453","180,649",0,342914,0,0,0,56.69,469_317_523_634_NA_220_319
Enterobacter_cloacae_P40RS.fa,ecloacae,cloacae,unknown,-,0,469,317,523,634,NA,220,319,NA,FASTA,DNA,48,4730052,209,"98,542.8","522,160","10,777.5","76,038","120,899",0,152770,0,0,0,56.72,469_317_523_634_NA_220_319
Enterobacter_cloacae_P41C.fa,ecloacae,cloacae,hormaechei,421,421,4,4,15,42,39,4,9,421,FASTA,DNA,24,4702564,361,"195,940.2","881,660","1,132","94,637.5","311,927.5",0,466017,0,0,0,55.59,4_4_15_42_39_4_9
Enterobacter_cloacae_P41RS.fa,ecloacae,cloacae,hormaechei,421,421,4,4,15,42,39,4,9,421,FASTA,DNA,39,4683916,222,"120,100.4","481,674","29,203.5","62,810","143,203",0,295755,0,0,0,55.64,4_4_15_42_39_4_9
Enterobacter_cloacae_P42C.fa,ecloacae,cloacae,bugandensis,1099,1099,314,18,337,252,30,8,30,1099,FASTA,DNA,44,4619772,306,"104,994.8","501,730","10,493","55,966.5","146,937",0,201159,0,0,0,56.13,314_18_337_252_30_8_30
Enterobacter_cloacae_P42RS.fa,ecloacae,cloacae,bugandensis,1099,1099,314,18,337,252,30,8,30,1099,FASTA,DNA,41,4621295,363,"112,714.5","733,545","25,498","76,129","128,974",0,262060,0,0,0,56.12,314_18_337_252_30_8_30
Enterobacter_cloacae_P43RS.fa,ecloacae,cloacae,bugandensis,35,35,31,19,42,31,33,17,28,35,FASTA,DNA,35,4633114,201,"132,374.7","807,807",717.5,"45,487","150,686.5",0,460312,0,0,0,56.05,31_19_42_31_33_17_28
Enterobacter_cloacae_P45RS.fa,ecloacae,cloacae,hormaechei,693,693,51,4,14,39,11,4,39,693,FASTA,DNA,41,4605868,221,"112,338.2","502,286","15,912","74,719","149,852",0,220483,0,0,0,55.78,51_4_14_39_11_4_39
Enterobacter_cloacae_P46RS.fa,ecloacae,cloacae,bugandensis,1099,1099,314,18,337,252,30,8,30,1099,FASTA,DNA,45,4630984,346,"102,910.8","733,545","1,101","35,149","137,672",0,306571,0,0,0,56.09,314_18_337_252_30_8_30
Enterobacter_cloacae_P8RS.fa,ecloacae,cloacae,hormaechei,1081,1081,4,4,4,6,11,4,6,1081,FASTA,DNA,50,4214736,254,"84,294.7","714,361","1,091","27,060.5","109,963",0,278251,0,0,0,55.53,4_4_4_6_11_4_6
Enterobacter_cloacae_PC-BR56-2.fa,ecloacae,cloacae,cloacae,84,84,60,1,61,1,36,22,1,84,FASTA,DNA,3,5380785,"141,533","1,793,595","4,905,156","237,814.5","334,096","2,619,626",0,4905156,0,0,0,54.23,60_1_61_1_36_22_1
Enterobacter_cloacae_PIMB10EC27.fa,ecloacae,cloacae,cloacae,513,513,171,1,190,168,1,22,113,513,FASTA,DNA,3,5419249,"62,470","1,806,416.3","5,272,177","73,536","84,602","2,678,389.5",0,5272177,0,0,0,54.34,171_1_190_168_1_22_113
Enterobacter_cloacae_POL9.fa,ecloacae,cloacae,cloacae,1523,1523,78,260,65,486,36,36,1,1523,FASTA,DNA,3,5122200,"52,962","1,707,400","4,961,034","80,583","108,204","2,534,619",0,4961034,0,0,0,54.71,78_260_65_486_36_36_1
Enterobacter_cloacae_RHBSTW-01078.fa,ecloacae,cloacae,cloacae,1551,1551,156,92,436,508,105,22,64,1551,FASTA,DNA,15,4943193,224,"329,546.2","2,303,516","1,005","2,816","61,554",0,1969456,0,0,0,55.01,156_92_436_508_105_22_64
Enterobacter_cloacae_S1.fa,ecloacae,cloacae,cloacae,1385,1385,1,243,65,86,153,22,1,1385,FASTA,DNA,45,4903323,269,"108,962.7","755,780",291,"1,533","108,930",0,541405,0,0,0,54.95,1_243_65_86_153_22_1
Enterobacter_cloacae_S18121600014.fa,ecloacae,cloacae,unknown,-,2442,359,202,390,376,302,170,101,NA,FASTA,DNA,28,4717071,554,"168,466.8","977,467","8,481","117,945.5","203,830.5",0,335399,0,0,0,55.97,359_202_390_376_302_170_101
Enterobacter_cloacae_S6.fa,ecloacae,cloacae,genomosp.,-,0,294,113,371,566,358,6,55,NA,FASTA,DNA,22,4594861,788,"208,857.3","1,426,662","27,304","98,534","316,015",0,470632,0,0,0,55.9,294_113_371_566_358_6_55
Enterobacter_cloacae_SBP-8.fa,ecloacae,cloacae,cloacae,432,432,141,44,158,168,145,1,1,432,FASTA,DNA,1,4854065,"4,854,065","4,854,065","4,854,065","4,854,065","4,854,065","4,854,065",0,4854065,0,0,0,50.8,141_44_158_168_145_1_1
Enterobacter_cloacae_SQU-2.fa,ecloacae,cloacae,cloacae,1524,1524,1,44,61,487,373,36,1,1524,FASTA,DNA,17,4891649,"1,294","287,744.1","730,029","82,313","181,403","558,831",0,574661,0,0,0,54.92,1_44_61_487_373_36_1
Enterobacter_cloacae_STN0717-73.fa,ecloacae,cloacae,asburiae,484,484,26,14,143,191,61,11,89,484,FASTA,DNA,6,5332357,"3,875","888,726.2","4,892,341","4,858","82,403.5","266,476",0,4892341,0,0,0,55.17,26_14_143_191_61_11_89
Enterobacter_cloacae_UCI102.fa,ecloacae,cloacae,cloacae,432,432,141,44,158,168,145,1,1,432,FASTA,DNA,5,5058259,"20,637","1,011,651.8","4,771,937","43,231","58,005","164,449",0,4771937,0,0,0,54.38,141_44_158_168_145_1_1
Enterobacter_cloacae_UCI162.fa,ecloacae,cloacae,cloacae,976,976,1,44,61,1,153,1,1,976,FASTA,DNA,8,5025757,"1,024","628,219.6","4,617,388","1,075","2,229.5","200,368",0,4617388,0,0,0,54.77,1_44_61_1_153_1_1
Enterobacter_cloacae_WCHECl140050.fa,ecloacae,cloacae,cloacae,477,477,161,44,61,186,153,1,1,477,FASTA,DNA,35,4817698,200,"137,648.5","2,517,836",373,"8,479","110,852",0,2517836,0,0,0,55.11,161_44_61_186_153_1_1
Enterobacter_cloacae_WHC167.fa,ecloacae,cloacae,cloacae,-,0,192,44,61,158,36,22,1,NA,FASTA,DNA,31,4985341,571,"160,817.5","968,431","10,203","73,840","155,357.5",0,758683,0,0,0,54.96,192_44_61_158_36_22_1
Enterobacter_cloacae_WP5-S18-CRE-02.fa,ecloacae,cloacae,kobei,32,32,3,24,3,35,3,16,17,32,FASTA,DNA,7,5562758,"2,049","794,679.7","5,194,790","4,755","56,317","150,046",0,5194790,0,0,0,54.36,3_24_3_35_3_16_17
Enterobacter_cloacae_WP5-S18-ESBL-01.fa,ecloacae,cloacae,unknown,-,0,271,175,398,329,265,120,174,NA,FASTA,DNA,6,4998275,"2,421","833,045.8","4,597,031","2,644","62,039.5","272,100",0,4597031,0,0,0,52.84,271_175_398_329_265_120_174
Enterobacter_cloacae_WP8-W18-CRE-04.fa,ecloacae,cloacae,asburiae,28,28,27,14,26,54,26,10,16,28,FASTA,DNA,10,4838653,"2,442","483,865.3","4,654,136","4,820","7,719","42,731",0,4654136,0,0,0,55.42,27_14_26_54_26_10_16
Enterobacter_cloacae_WP8-W19-CRE-02.fa,ecloacae,cloacae,mori,-,0,289,43,218,352,360,61,129,NA,FASTA,DNA,7,5221843,"4,450","745,977.6","4,891,055","9,126","46,974","130,556",0,4891055,0,0,0,55.22,289_43_218_352_360_61_129
Enterobacter_cloacae_complex_sp..fa,ecloacae,cloacae,NA,873,873,85,63,101,103,96,6,53,873,FASTA,DNA,4,5290194,"65,087","1,322,548.5","4,783,258","103,909.5","220,924.5","2,541,187.5",0,4783258,0,0,0,55.2,85_63_101_103_96_6_53
Enterobacter_cloacae_e1236.fa,ecloacae,cloacae,cloacae,609,609,198,126,158,225,1,1,1,609,FASTA,DNA,44,4969269,414,"112,937.9","899,938","4,678","24,975","111,133.5",0,415275,0,0,0,54.82,198_126_158_225_1_1_1
Enterobacter_cloacae_e1323.fa,ecloacae,cloacae,cloacae,789,789,192,1,65,311,198,36,1,789,FASTA,DNA,21,4820647,"1,637","229,554.6","1,280,041","56,272","152,806","287,408",0,381931,0,0,0,55,192_1_65_311_198_36_1
Enterobacter_cloacae_e362.fa,ecloacae,cloacae,roggenkampii,767,767,197,25,269,300,100,21,163,767,FASTA,DNA,13,4721010,"1,542","363,154.6","2,091,135","83,026","143,619","234,678",0,859261,0,0,0,55.98,197_25_269_300_100_21_163
Enterobacter_cloacae_e483.fa,ecloacae,cloacae,unknown,774,774,250,122,272,299,245,112,160,774,FASTA,DNA,28,5303249,498,"189,401.8","1,951,593","5,345.5","39,038","169,814",0,726155,0,0,0,55.36,250_122_272_299_245_112_160
Enterobacter_cloacae_indica.fa,ecloacae,cloacae,hormaechei,127,127,46,20,74,44,45,24,6,127,FASTA,DNA,25,4640941,"5,789","185,637.6","879,269","43,431","103,700","242,706",0,361032,0,0,0,55.36,46_20_74_44_45_24_6
Enterobacter_cloacae_subsp._cloacae_12961-yvys.fa,ecloacae,cloacae,NA,84,84,60,1,61,1,36,22,1,84,FASTA,DNA,3,4843865,"2,154","1,614,621.7","4,751,455","46,205","90,256","2,420,855.5",0,4751455,0,0,0,54.85,60_1_61_1_36_22_1
Enterobacter_cloacae_subsp._cloacae_ATCC_13047.fa,ecloacae,cloacae,NA,1,1,1,1,1,1,1,1,1,1,FASTA,DNA,3,5598796,"84,653","1,866,265.3","5,314,581","142,107.5","199,562","2,757,071.5",0,5314581,0,0,0,54.58,1_1_1_1_1_1_1
Enterobacter_cloacae_subsp._cloacae_CAPREX_E2-2.fa,ecloacae,cloacae,cloacae,1513,1513,150,92,109,217,105,22,260,1513,FASTA,DNA,21,5028994,"9,484","239,475.9","787,650","78,574","218,195","328,291",0,356253,0,0,0,55.07,150_92_109_217_105_22_260
Enterobacter_cloacae_subsp._cloacae_CAPREX_E7.fa,ecloacae,cloacae,cloacae,1513,1513,150,92,109,217,105,22,260,1513,FASTA,DNA,15,5034327,"17,136","335,621.8","1,404,007","79,432.5","105,046","294,291",0,1210847,0,0,0,55.06,150_92_109_217_105_22_260
Enterobacter_cloacae_subsp._cloacae_CIDEIMsCOL10.fa,ecloacae,cloacae,cloacae,712,712,1,126,245,73,228,33,1,712,FASTA,DNA,36,4856456,660,"134,901.6","1,162,857","1,625.5","41,537","135,585",0,422812,0,0,0,54.97,1_126_245_73_228_33_1
Enterobacter_cloacae_subsp._cloacae_CORE_Ent11.fa,ecloacae,cloacae,cloacae,-,0,448,132,195,485,105,22,221,NA,FASTA,DNA,36,5163790,"1,071","143,438.6","860,291","15,123.5","53,188.5","213,655.5",0,307241,0,0,0,54.79,448_132_195_485_105_22_221
Enterobacter_cloacae_subsp._cloacae_CORE_Ent8.fa,ecloacae,cloacae,cloacae,712,712,1,126,245,73,228,33,1,712,FASTA,DNA,28,5040587,"1,096","180,021","798,130","15,761","79,986","248,037",0,528928,0,0,0,54.64,1_126_245_73_228_33_1
Enterobacter_cloacae_subsp._cloacae_CORE_Ent9.fa,ecloacae,cloacae,cloacae,-,1923,486,1,509,617,458,36,1,NA,FASTA,DNA,43,5104855,"1,124","118,717.6","675,549","16,679.5","60,633","183,741",0,280362,0,0,0,54.74,486_1_509_617_458_36_1
Enterobacter_cloacae_subsp._cloacae_HB_Z_2347.fa,ecloacae,cloacae,cloacae,1515,1515,392,258,65,482,366,22,261,1515,FASTA,DNA,44,4787968,542,"108,817.5","536,829","1,535.5","30,936","180,755",0,276077,0,0,0,55.04,392_258_65_482_366_22_261
Enterobacter_cloacae_subsp._cloacae_SMART_1312.fa,ecloacae,cloacae,cloacae,609,609,198,126,158,225,1,1,1,609,FASTA,DNA,38,5081052,608,"133,711.9","660,176","25,781","74,444.5","204,694",0,310606,0,0,0,54.86,198_126_158_225_1_1_1
Enterobacter_cloacae_subsp._dissolvens_GN02534.fa,ecloacae,cloacae,cloacae,700,700,150,92,240,269,154,22,99,700,FASTA,DNA,24,5001393,553,"208,391.4","1,718,256","3,733","90,650","279,333",0,356150,0,0,0,55.02,150_92_240_269_154_22_99
Enterobacter_cloacae_subsp._dissolvens_SDM.fa,ecloacae,cloacae,NA,736,736,240,92,167,217,105,22,99,736,FASTA,DNA,1,4968248,"4,968,248","4,968,248","4,968,248","4,968,248","4,968,248","4,968,248",0,4968248,0,0,0,55.06,240_92_167_217_105_22_99
Enterobacter_dykesii_120147.fa,ecloacae,dykesii,asburiae,319,319,105,15,120,124,116,11,68,319,FASTA,DNA,39,4652802,202,"119,302.6","1,025,648",431.5,657,"120,953.5",0,818153,0,0,0,55.85,105_15_120_124_116_11_68
Enterobacter_genomosp._GN03164.fa,ecloacae,genomosp.,unknown,707,707,228,142,242,272,226,85,144,707,FASTA,DNA,27,5115149,590,"189,450","1,088,495","3,230","26,239","170,262",0,820017,0,0,0,55.66,228_142_242_272_226_85_144
Enterobacter_genomosp._GN06232.fa,ecloacae,genomosp.,genomosp.,-,0,351,61,99,442,97,6,55,NA,FASTA,DNA,24,4624242,599,"192,676.8","789,688","36,960.5","109,506","306,526",0,361539,0,0,0,55.68,351_61_99_442_97_6_55
Enterobacter_hormaechei_002.fa,ecloacae,hormaechei,hormaechei,116,116,9,4,14,6,11,4,6,116,FASTA,DNA,21,4757597,230,"226,552.2","3,107,770","1,001","26,299","115,227",0,3107770,0,0,0,55.48,9_4_14_6_11_4_6
Enterobacter_hormaechei_004.fa,ecloacae,hormaechei,hormaechei,116,116,9,4,14,6,11,4,6,116,FASTA,DNA,18,4757733,243,"264,318.5","3,209,136","1,091","27,743.5","140,003",0,3209136,0,0,0,55.48,9_4_14_6_11_4_6
Enterobacter_hormaechei_015.fa,ecloacae,hormaechei,hormaechei,116,116,9,4,14,6,11,4,6,116,FASTA,DNA,18,4658884,278,"258,826.9","1,735,171","1,091","40,342.5","306,166",0,1241750,0,0,0,55.66,9_4_14_6_11_4_6
Enterobacter_hormaechei_018.fa,ecloacae,hormaechei,hormaechei,116,116,9,4,14,6,11,4,6,116,FASTA,DNA,22,4657130,233,"211,687.7","1,729,849",548,"27,777","202,515",0,1241640,0,0,0,55.66,9_4_14_6_11_4_6
Enterobacter_hormaechei_021.fa,ecloacae,hormaechei,hormaechei,116,116,9,4,14,6,11,4,6,116,FASTA,DNA,35,4663420,230,"133,240.6","1,735,544",262,333,"82,515.5",0,1241750,0,0,0,55.65,9_4_14_6_11_4_6
Enterobacter_hormaechei_025.fa,ecloacae,hormaechei,hormaechei,116,116,9,4,14,6,11,4,6,116,FASTA,DNA,25,4660909,232,"186,436.4","1,735,544",261,"2,313","115,372",0,1241750,0,0,0,55.66,9_4_14_6_11_4_6
Enterobacter_hormaechei_050.fa,ecloacae,hormaechei,hormaechei,116,116,9,4,14,6,11,4,6,116,FASTA,DNA,18,4758272,240,"264,348.4","3,209,618","1,001","27,743.5","140,038",0,3209618,0,0,0,55.48,9_4_14_6_11_4_6
Enterobacter_hormaechei_057.fa,ecloacae,hormaechei,hormaechei,116,116,9,4,14,6,11,4,6,116,FASTA,DNA,23,4757083,239,"206,829.7","1,541,071","2,116.5","51,508","131,814.5",0,746883,0,0,0,55.48,9_4_14_6_11_4_6
Enterobacter_hormaechei_059.fa,ecloacae,hormaechei,hormaechei,116,116,9,4,14,6,11,4,6,116,FASTA,DNA,30,4760666,233,"158,688.9","2,288,456",267,"1,046","111,351",0,921065,0,0,0,55.48,9_4_14_6_11_4_6
Enterobacter_hormaechei_064.fa,ecloacae,hormaechei,hormaechei,116,116,9,4,14,6,11,4,6,116,FASTA,DNA,21,4658371,242,"221,827.2","1,241,414","2,313","75,251","239,298",0,762255,0,0,0,55.66,9_4_14_6_11_4_6
Enterobacter_hormaechei_081.fa,ecloacae,hormaechei,hormaechei,116,116,9,4,14,6,11,4,6,116,FASTA,DNA,20,4757807,236,"237,890.4","2,360,847","2,116.5","40,334.5","131,961",0,848600,0,0,0,55.48,9_4_14_6_11_4_6
Enterobacter_hormaechei_091.fa,ecloacae,hormaechei,hormaechei,742,742,66,4,4,171,187,4,25,742,FASTA,DNA,26,4794803,234,"184,415.5","2,570,397","1,217","33,291","136,983",0,2570397,0,0,0,55.57,66_4_4_171_187_4_25
Enterobacter_hormaechei_105.fa,ecloacae,hormaechei,hormaechei,116,116,9,4,14,6,11,4,6,116,FASTA,DNA,20,4659059,239,"232,953","1,735,029",368,"52,222","220,873",0,1241750,0,0,0,55.66,9_4_14_6_11_4_6
Enterobacter_hormaechei_110.fa,ecloacae,hormaechei,hormaechei,116,116,9,4,14,6,11,4,6,116,FASTA,DNA,23,4658041,231,"202,523.5","1,729,702",402.5,"24,076","158,943.5",0,1241414,0,0,0,55.66,9_4_14_6_11_4_6
Enterobacter_hormaechei_120.fa,ecloacae,hormaechei,hormaechei,116,116,9,4,14,6,11,4,6,116,FASTA,DNA,22,4758499,251,"216,295.4","2,360,836","1,001","27,743.5","123,858",0,848564,0,0,0,55.48,9_4_14_6_11_4_6
Enterobacter_hormaechei_12358.fa,ecloacae,hormaechei,hormaechei,982,982,4,4,4,39,39,4,25,982,FASTA,DNA,33,4671013,202,"141,545.8","749,846",542,"26,274","199,281",0,405949,0,0,0,55.58,4_4_4_39_39_4_25
Enterobacter_hormaechei_128.fa,ecloacae,hormaechei,hormaechei,50,50,4,4,4,6,37,4,25,50,FASTA,DNA,49,4925163,212,"100,513.5","837,694","2,572","29,032","139,879",0,310003,0,0,0,55.16,4_4_4_6_37_4_25
Enterobacter_hormaechei_14102KSN.fa,ecloacae,hormaechei,hormaechei,97,97,59,9,62,9,62,25,6,97,FASTA,DNA,5,4827906,"2,495","965,581.2","4,705,976","4,666","4,921","109,848",0,4705976,0,0,0,55.11,59_9_62_9_62_25_6
Enterobacter_hormaechei_14280161202.fa,ecloacae,hormaechei,hormaechei,1019,1019,51,4,15,263,11,4,6,1019,FASTA,DNA,1,4662942,"4,662,942","4,662,942","4,662,942","4,662,942","4,662,942","4,662,942",0,4662942,0,0,0,55.68,51_4_15_263_11_4_6
Enterobacter_hormaechei_14320055602.fa,ecloacae,hormaechei,hormaechei,150,150,4,4,84,83,39,4,6,150,FASTA,DNA,1,4583965,"4,583,965","4,583,965","4,583,965","4,583,965","4,583,965","4,583,965",0,4583965,0,0,0,55.76,4_4_84_83_39_4_6
Enterobacter_hormaechei_154.fa,ecloacae,hormaechei,hormaechei,-,88,4,4,4,62,59,4,6,NA,FASTA,DNA,34,4817762,229,"141,698.9","733,938",344,"4,728","233,851",0,590276,0,0,0,55.49,4_4_4_62_59_4_6
Enterobacter_hormaechei_1575.fa,ecloacae,hormaechei,hormaechei,102,102,59,9,12,9,67,6,25,102,FASTA,DNA,3,5031379,"1,699","1,677,126.3","4,687,233","172,073","342,447","2,514,840",0,4687233,0,0,0,54.68,59_9_12_9_67_6_25
Enterobacter_hormaechei_166_GCF_020784015.1.fa,ecloacae,hormaechei,hormaechei,93,93,9,4,14,61,37,4,9,93,FASTA,DNA,2,4871483,"102,285","2,435,741.5","4,769,198","102,285","2,435,741.5","4,769,198",0,4769198,0,0,0,55.31,9_4_14_61_37_4_9
Enterobacter_hormaechei_167.fa,ecloacae,hormaechei,hormaechei,93,93,9,4,14,61,37,4,9,93,FASTA,DNA,2,4868146,"102,285","2,434,073","4,765,861","102,285","2,434,073","4,765,861",0,4765861,0,0,0,55.32,9_4_14_61_37_4_9
Enterobacter_hormaechei_168.fa,ecloacae,hormaechei,hormaechei,93,93,9,4,14,61,37,4,9,93,FASTA,DNA,2,4851280,"102,285","2,425,640","4,748,995","102,285","2,425,640","4,748,995",0,4748995,0,0,0,55.35,9_4_14_61_37_4_9
Enterobacter_hormaechei_171.fa,ecloacae,hormaechei,hormaechei,171,171,49,21,19,44,45,12,32,171,FASTA,DNA,6,5283226,883,"880,537.7","4,811,056","2,594","77,094","314,505",0,4811056,0,0,0,54.59,49_21_19_44_45_12_32
Enterobacter_hormaechei_171_GCF_003054605.1.fa,ecloacae,hormaechei,hormaechei,171,171,49,21,19,44,45,12,32,171,FASTA,DNA,5,5010928,"2,610","1,002,185.6","4,818,144","5,510","43,797","140,867",0,4818144,0,0,0,55.1,49_21_19_44_45_12_32
Enterobacter_hormaechei_187.fa,ecloacae,hormaechei,hormaechei,-,2635,74,20,9,227,99,24,32,NA,FASTA,DNA,17,4798479,208,"282,263.5","2,163,331",370,"4,331","117,233",0,1269832,0,0,0,55.41,74_20_9_227_99_24_32
Enterobacter_hormaechei_188.fa,ecloacae,hormaechei,hormaechei,-,2635,74,20,9,227,99,24,32,NA,FASTA,DNA,4,4783897,"3,210","1,195,974.3","4,652,262","4,408","64,212.5","2,387,540.5",0,4652262,0,0,0,55.41,74_20_9_227_99_24_32
Enterobacter_hormaechei_189.fa,ecloacae,hormaechei,hormaechei,175,175,51,4,4,6,68,30,36,175,FASTA,DNA,5,5417742,"41,439","1,083,548.4","5,026,406","106,698","110,177","133,022",0,5026406,0,0,0,55.16,51_4_4_6_68_30_36
